Price,Location,Surface
2 250 €,Luxembourg-Bonnevoie,88 m²
1 000 €,Luxembourg-Hollerich,17 m²
2 900 €,Luxembourg-Kirchberg,117 m²
900 €,Luxembourg-Cents,12 m²
1 400 €,Luxembourg-Belair,28 m²
1 300 €,Dudelange,44 m²
1 900 €,Pétange,70 m²
2 450 €,Luxembourg-Gare,80 m²
1 750 €,Luxembourg-Limpertsberg,45 m²
3 600 €,Luxembourg-Cents,125 m²
3 100 €,Hassel,100 m²
2 500 €,Alzingen,88 m²
3 600 €,Luxembourg-Gasperich - Cloche d'or,101 m²
1 900 €,Luxembourg-Merl,50 m²
830 €,Bollendorf-Pont,60 m²
1 390 €,Esch-sur-Alzette,31 m²
1 850 €,Wormeldange,90 m²
200 €,Leudelange,40 m²
1 700 €,Wickrange,54 m²
1 550 €,Wickrange,56 m²
1 650 €,Wickrange,53 m²
2 550 €,Luxembourg-Kirchberg,84 m²
2 920 €,Luxembourg-Kirchberg,104 m²
2 150 €,Luxembourg-Kirchberg,60 m²
1 850 €,Luxembourg-Kirchberg,55 m²
1 750 €,Ettelbruck,46 m²
1 800 €,Ettelbruck,46 m²
2 300 €,Luxembourg-Gasperich - Cloche d'or,85 m²
1 700 €,Luxembourg-Centre ville,45 m²
900 €,Luxembourg-Bonnevoie,18 m²
900 €,Luxembourg-Bonnevoie,16 m²
900 €,Howald,18 m²
2 300 €,Luxembourg-Hollerich,75 m²
2 850 €,Luxembourg-Pfaffenthal,74 m²
3 100 €,Luxembourg-Centre ville,96 m²
2 350 €,Luxembourg-Centre ville,60 m²
2 200 €,Luxembourg-Centre ville,63 m²
2 700 €,Luxembourg-Kirchberg,90 m²
3 400 €,Luxembourg-Belair,180 m²
750 €,Niederkorn,14 m²
1 800 €,Luxembourg-Kirchberg,86 m²
2 300 €,Luxembourg-Gasperich - Cloche d'or,85 m²
1 800 €,Mertzig,45 m²
900 €,Luxembourg-Bonnevoie,16 m²
1 800 €,Luxembourg-Weimerskirch,48 m²
1 050 €,Luxembourg-Bonnevoie,20 m²
1 700 €,Luxembourg-Merl,69 m²
1 230 €,Luxembourg-Bonnevoie,22 m²
1 350 €,Senningerberg,25 m²
1 350 €,Senningerberg,25 m²
2 100 €,Luxembourg-Centre Ville,70 m²
2 900 €,Luxembourg-Belair,63 m²
4 840 €,Luxembourg-Limpertsberg,155 m²
3 400 €,Luxembourg-Limpertsberg,98 m²
2 900 €,Luxembourg-Limpertsberg,90 m²
2 550 €,Luxembourg-Limpertsberg,62 m²
2 750 €,Luxembourg-Belair,58 m²
1 750 €,Luxembourg-Limpertsberg,32 m²
1 950 €,Luxembourg-Limpertsberg,45 m²
2 200 €,Strassen,53 m²
1 500 €,Strassen,15 m²
2 800 €,Luxembourg-Gare,115 m²
2 150 €,Luxembourg-Kirchberg,43 m²
950 €,Luxembourg-Bonnevoie,N/A
950 €,Luxembourg-Bonnevoie,N/A
950 €,Luxembourg-Bonnevoie,N/A
2 400 €,Luxembourg-Neudorf,52 m²
1 800 €,Luxembourg-Merl,48 m²
1 800 €,Bertrange,48 m²
1 300 €,Fentange,40 m²
2 450 €,Sanem,120 m²
2 300 €,Luxembourg-Limpertsberg,95 m²
2 400 €,Luxembourg-Centre ville,75 m²
4 200 €,Luxembourg-Centre ville,90 m²
3 500 €,Luxembourg-Gare,80 m²
3 800 €,Luxembourg-Kirchberg,90 m²
2 500 €,Luxembourg-Centre ville,52 m²
2 900 €,Luxembourg-Centre ville,63 m²
2 750 €,Luxembourg-Centre ville,63 m²
1 900 €,Luxembourg-Kirchberg,32 m²
